Symbiont accepted name;Host accepted name;Ocean origin;Region origin;Country origin
Hematodinium perezi (clade A);Callinectes sapidus;Atlantic Ocean;Texas;
Hematodinium sp (clade B);Chionoecetes angulatus;Pacific Ocean;British Columbia;Canada
Hematodinium sp (clade B);Chionoecetes tanneri;Pacific Ocean;British Columbia;Canada
Hematodinium sp (clade B);Nephrops norvegicus;Atlantic Ocean;Firth of Clyde;
Hematodinium sp (clade B);Hyas coarctatus;Bering Sea;;Alaska
Hematodinium sp (clade B);Lithodes couesi;Pacific Ocean;British Columbia;Canada
Hematodinium perezi (clade A);Scylla paramamosain;China Sea;Zhejiang Province;China
Hematodinium-species complex;Cancer pagurus;The Channel;;France
Hematodinium-species complex;Cancer pagurus;Atlantic Ocean;;France
Hematodinium-species complex;Cancer pagurus;Atlantic Ocean;;France
Hematodinium-species complex;Cancer pagurus;The Channel;;France
Hematodinium-species complex;Cancer pagurus;The Channel;;France
Hematodinium-species complex;Cancer pagurus;Atlantic Ocean;;France
Hematodinium-species complex;Cancer pagurus;Atlantic Ocean;;France
Hematodinium perezi (clade A);Callinectes sapidus;Atlantic Ocean;Georgia;
;;;;
;;;;
Hematodinium sp (clade B);Chionoecetes tanneri;Pacific Ocean;British Columbia;Canada
Hematodinium sp (clade B);Chionoecetes opilio;Baffin Sea;;Greenland
Hematodinium sp (clade C?);Chionoecetes opilio;Baffin Sea;;Greenland
Hematodinium sp (clade B);Hyas araneus;Baffin Sea;;Greenland
Hematodinium sp (clade B);Pagurus bernhardus;;;Denmark
Hematodinium sp (clade B);Nephrops norvegicus;;;Denmark
Hematodinium sp (clade B);Liocarcinus depurator;;;Denmark
Hematodinium perezi (clade A);Callinectes sapidus;Atlantic Ocean;Georgia;
Hematodinium australis;Portunus pelagicus;Coral Sea;Moreton Bay;Australia
Hematodinium australis;Scylla serrata;Coral Sea;Moreton Bay;Australia
Hematodinium sp (clade B);Nephrops norvegicus;Atlantic Ocean;Firth of Clyde;
Hematodinium sp (clade B);Chionoecetes bairdi;Pacific Ocean;;Alaska
Hematodinium sp (clade B);Chionoecetes opilio;Pacific Ocean;;Alaska
Hematodinium perezi (clade A);Callinectes sapidus;Atlantic Ocean;Chesapeake Bay;
Hematodinium perezi (clade A);Scylla paramamosain;China Sea;Guangdong province;China
Hematodinium perezi (clade A);Callinectes sapidus;Atlantic Ocean;;
Hematodinium perezi (clade A);Callinectes sapidus;Atlantic Ocean;;
Hematodinium perezi (clade A);Callinectes sapidus;Atlantic Ocean;;
Hematodinium perezi (clade A);Callinectes sapidus;Atlantic Ocean;;
Hematodinium perezi (clade A);Callinectes sapidus;Atlantic Ocean;;
Hematodinium perezi (clade A);Callinectes sapidus;Atlantic Ocean;;
Hematodinium perezi (clade A);Callinectes sapidus;Atlantic Ocean;;
Hematodinium perezi (clade A);Callinectes sapidus;Atlantic Ocean;;
Hematodinium perezi (clade A);Callinectes sapidus;Atlantic Ocean;;
Hematodinium perezi (clade A);Callinectes sapidus;Atlantic Ocean;;
Hematodinium perezi (clade A);Callinectes sapidus;Atlantic Ocean;;
Hematodinium perezi (clade A);Callinectes sapidus;Atlantic Ocean;;
Hematodinium perezi (clade A);Callinectes sapidus;Atlantic Ocean;;
Hematodinium perezi (clade A);Callinectes sapidus;Atlantic Ocean;;
Hematodinium perezi (clade A);Callinectes sapidus;Atlantic Ocean;;
Hematodinium perezi (clade A);Callinectes sapidus;Atlantic Ocean;;
Hematodinium sp (clade B);Cancer pagurus;Atlantic Ocean;Scotland;
Hematodinium sp (clade B);Nephrops norvegicus;Atlantic Ocean;Scotland;
Hematodinium sp (clade B);Pagurus bernhardus;Atlantic Ocean;Scotland;
Hematodinium sp (clade B);Pagurus prideaux;Atlantic Ocean;Scotland;
Hematodinium sp (clade B);Carcinus maenas;Atlantic Ocean;Scotland;
Hematodinium sp (clade B);Munida rugosa;Atlantic Ocean;Scotland;
Hematodinium sp (clade B);Nephrops norvegicus;Atlantic Ocean;Firth of Clyde;
Hematodinium sp (clade B);Nephrops norvegicus;Atlantic Ocean;Irish Sea;
Hematodinium sp (clade B);Cancer pagurus;The Channel;;France
Hematodinium sp (clade B);Cancer pagurus;Atlantic Ocean;;
Hematodinium sp (clade B);Chionoecetes opilio;Atlantic Ocean;Conception Bay;Canada
Hematodinium sp (clade B);Pagurus bernhardus;Atlantic Ocean;Firth of Clyde;
Hematodinium sp (clade B);Crangon crangon;North Sea;;
Hematodinium perezi (clade A);Exopalaemon carinicauda;China Sea;Zhejiang Province;China
Hematodinium perezi (clade A);Scylla paramamosain;China Sea;Zhejiang Province;China
Hematodinium perezi (clade A);Portunus trituberculatus;China Sea;Zhejiang Province;China
Bacteria_like;Hematodinium sp (clade B);North Sea;;
Hematodinium sp (clade B);Paralithodes camtschaticus;Sea of Okhotsk;;Russia
Hematodinium-species complex;Trapezia areolata;Great Barrier Reef;;Australia
Hematodinium-species complex;Trapezia cymodoce;Great Barrier Reef;;Australia
Trapezia areolata;Pocillopora damicornis;Great Barrier Reef;;Australia
